iter	Passed	Remaining
0	10	10607
1	11	5866
2	12	4093
3	12	3221
4	13	2685
5	14	2323
6	14	2067
7	15	1874
8	15	1723
9	16	1601
10	16	1506
11	17	1421
12	17	1349
13	18	1287
14	18	1235
15	19	1188
16	19	1148
17	20	1110
18	20	1078
19	21	1055
20	22	1040
21	22	1017
22	23	994
23	23	975
24	24	955
25	25	937
26	25	919
27	26	904
28	26	890
29	27	876
30	27	863
31	28	851
32	28	839
33	29	829
34	30	830
35	30	823
36	31	814
37	31	805
38	32	797
39	32	789
40	33	781
41	33	773
42	34	766
43	34	759
44	35	756
45	36	752
46	37	753
47	37	751
48	38	747
49	39	744
50	39	740
51	40	736
52	40	732
53	41	727
54	42	724
55	42	721
56	43	717
57	43	713
58	44	710
59	45	707
60	45	704
61	46	701
62	46	698
63	47	694
64	48	691
65	48	687
66	49	684
67	49	682
68	50	679
69	51	678
70	52	681
71	52	680
72	53	679
73	54	676
74	54	674
75	55	671
76	55	668
77	56	666
78	56	663
79	57	661
80	58	658
81	58	655
82	58	650
83	59	647
84	60	646
85	60	644
86	61	649
87	62	647
88	63	645
89	63	643
90	64	641
91	64	639
92	65	638
93	66	637
94	66	638
95	67	636
96	68	637
97	69	635
98	69	634
99	70	633
100	71	632
101	72	634
102	72	633
103	73	631
104	73	629
105	74	627
106	74	625
107	75	622
108	75	620
109	76	619
110	77	617
111	77	615
112	78	613
113	78	612
114	79	610
115	79	608
116	80	606
117	81	607
118	82	607
119	82	606
120	83	605
121	83	603
122	84	604
123	85	603
124	85	601
125	86	599
126	86	597
127	87	595
128	88	594
129	88	593
130	89	591
131	89	589
132	90	587
133	90	586
134	91	585
135	91	583
136	92	582
137	92	580
138	93	579
139	94	577
140	94	576
141	95	574
142	95	573
143	96	573
144	97	576
145	98	576
146	99	576
147	100	576
148	100	576
149	101	575
150	102	574
151	102	573
152	103	571
153	103	570
154	104	569
155	104	568
156	105	566
157	105	564
158	106	563
159	107	561
160	107	559
161	108	558
162	108	557
163	109	556
164	109	554
165	110	553
166	110	553
167	111	552
168	112	551
169	112	550
170	113	549
171	114	549
172	114	548
173	115	548
174	116	549
175	117	549
176	118	549
177	119	549
178	119	549
179	120	548
180	120	547
181	121	545
182	121	544
183	122	543
184	123	542
185	123	541
186	124	540
187	124	539
188	125	539
189	127	542
190	127	541
191	128	540
192	129	540
193	130	540
194	130	539
195	131	539
196	131	537
197	132	536
198	133	536
199	133	535
